State,FIPS,inc.2008,inc.2009,inc.2010,inc.2011,inc.2012,inc.3yr,inc.5yr,pop.5y,inc.rate,harm.rate,Number; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population - 10 to 14 years,Percent; SEX AND AGE - Total population - 15 to 19 years,Percent; SEX AND AGE - Total population - 55 to 59 years,Percent; SEX AND AGE - Total population - 60 to 64 years,Percent; RACE - Total population - One Race - White,Percent; RACE - Total population - One Race - Black or African American,Percent; RACE - Total population - One Race - Asian,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race),Percent; RELATIONSHIP - Total population - In households - Other relatives - Under 18 years,Percent; RELATIONSHIP - Total population - In households - Other relatives - 65 years and over,Percent; RELATIONSHIP - Total population - In households - Nonrelatives,Percent; RELATIONSHIP - Total population - In households - Nonrelatives - Unmarried partner,Percent; RELATIONSHIP - Total population - In group quarters - Institutionalized population,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) [7],Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Divorce,Marriage,Percent; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family,Percent; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone,Percent; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over,Estimate; HOUSEHOLDS BY TYPE - Average household size,Estimate; HOUSEHOLDS BY TYPE - Average family size,Percent Margin of Error; RELATIONSHIP - Nonrelatives,Percent; RELATIONSHIP - Nonrelatives - Unmarried partner,Percent; MARITAL STATUS - Never married,"Percent; MARITAL STATUS - Now married, except separated",Percent; MARITAL STATUS - Separated,Percent; MARITAL STATUS - Widowed,Percent; MARITAL STATUS - Divorced,"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old",Percent; GRANDPARENTS - Responsible for grandchildren,Percent; EDUCATIONAL ATTAINMENT - Less than 9th grade,"Percent; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma",Percent; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),"Percent; EDUCATIONAL ATTAINMENT - Some college, no degree",Percent; EDUCATIONAL ATTAINMENT - Bachelor's degree,Percent; EDUCATIONAL ATTAINMENT - Graduate or professional degree,Percent; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher,Percent; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher,Percent; VETERAN STATUS - Civilian veterans,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability,Percent; RESIDENCE 1 YEAR AGO - Same house,Percent; PLACE OF BIRTH - Native - Born in United States - State of residence,Percent; PLACE OF BIRTH - Foreign born,Percent; EMPLOYMENT STATUS - In labor force,Percent; EMPLOYMENT STATUS - In labor force - Armed Forces,Percent; EMPLOYMENT STATUS - Percent Unemployed,Percent; EMPLOYMENT STATUS - In labor force,Percent; EMPLOYMENT STATUS - All parents in family in labor force,Percent; CLASS OF WORKER - Government workers,Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median household income (dollars),Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Mean household income (dollars),Percent; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - With Food Stamp/SNAP benefits in the past 12 months,Percent; HEALTH INSURANCE COVERAGE - With health insurance coverage,Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families,Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families - With related children under 18 years,Percent; HOUSING OCCUPANCY - Vacant housing units,Estimate; VALUE - Median (dollars),Estimate; GROSS RENT - Median (dollars)
20,20067,0,0,0,1,1,2,2,38059,52.54998818,100,7829,8.8,7.2,6.1,5,81.3,0.6,0.3,43.9,2.7,0.6,3,1.6,1,76.3,7.8,12.4750499,38.8294879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20069,1,0,0,1,0,1,2,29539,67.70709909,100,6006,8.4,7.9,5.9,4.9,93.4,0.4,0.2,14.2,1.6,0.4,2.5,1,1.3,74.4,8,7.402422611,28.510335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20079,3,2,3,0,0,3,8,170859,46.82223354,37.5,34684,7.3,7.2,6.7,5.3,91.4,1.6,0.7,10.8,1.6,0.4,3.8,1.9,1.9,69.4,7.7,4.64037123,26.61079099,56.6,27.2,29.6,2.55,3.07,4.8,1.4,27.5,59.3,1.2,2.8,9.2,42,N,5.1,6.1,31.8,23.6,17.5,8.3,88.8,25.8,7.9,12,84.8,70.7,5.3,64.4,0.1,7.7,55.4,62.8,12.9,46899,57133,9.7,88.6,9.3,17.8,10,107800,660
20,20085,0,1,1,1,0,2,3,63345,47.3596969,100,13462,7.7,6.7,7.1,6.2,87.2,0.5,0.4,3.3,2.1,0.6,4.1,2.2,0.8,71,9.5,11.52737752,21.68949772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20087,2,0,0,3,0,3,5,89325,55.97537084,40,19126,7.6,6.9,7.5,6.3,96.3,0.5,0.2,1.8,2.2,0.6,4.2,2.2,1.2,73.9,9.7,14.20959147,21.19260337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20091,5,10,1,6,5,12,27,1134429,23.80051991,37.037037,544179,7.4,6.3,6.4,5.2,86,4.3,4.2,7.2,1.1,0.6,4.3,2,0.8,68.2,6,4.241407532,20.99782673,54.9,26.9,20.1,2.55,3.12,4.5,1.8,28.1,60,1.3,1.9,8.7,60,29.9,1.6,2.6,15.7,21.3,33.1,18.3,95.7,51.5,8.4,8.1,85.7,40.2,8.2,73.4,0.1,5.5,67.6,69.9,11,73021,95088,4.1,91.1,4.3,6.5,5.5,208100,897
20,20093,1,0,0,0,0,0,1,20415,48.9835905,100,3977,8.8,8.5,6.2,5.4,87.3,0.6,0.3,28.5,2.3,0.5,3.4,2,1.9,76.1,10,7.356321839,26.41509434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20095,2,0,0,1,0,1,3,38202,78.5299199,0,7858,7.2,6.7,7,6.2,96.9,0.2,0.5,2.5,1.5,0.5,3.6,2.1,2.4,66.7,15.5,12.46537396,23.30335241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20097,0,0,0,1,0,1,1,12797,78.14331484,100,2553,6,9.7,8,5.9,95.6,0.7,0.6,3.9,1.3,0.5,3.3,1.5,1.9,68,16.9,6.779661017,26.04756512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20099,3,9,3,2,2,7,19,108929,174.4255432,21.052632,21607,6.7,7.3,6.7,6.2,88,4.7,0.4,4,2.3,0.5,5.5,2.6,1.3,65,12.6,24.82440104,17.98188875,51.1,29.2,29.1,2.41,2.9,5.9,1.4,30.7,53.9,2.8,3.5,9,(X),N,3.1,6.4,31.2,24.2,12.8,8.1,90.4,20.9,10.8,17.2,86.9,64.6,1.5,63.4,0,7.6,60.9,74.3,18.4,39805,46801,9.9,85.4,9.8,14.5,14.2,67000,558
20,20103,10,5,0,4,4,8,23,380053,60.51787514,34.782609,76227,6.9,6.5,6.7,5.3,83.8,9.4,1.3,5.7,1.8,0.6,3.6,1.8,7.7,73,7.8,9.707831606,24.17840376,57.5,23.2,22.4,2.72,3.26,3.9,1.8,33.2,51.2,1.5,2.1,12,63,46.1,2.8,5.4,32.2,22.1,16.3,12.8,91.8,29.2,17.5,13.2,78.9,49.1,3.4,61.6,3.3,8.6,61.8,57.1,27.7,61709,72104,7.3,90.7,8.3,13.4,9.3,166000,881
20,20105,1,0,0,0,0,0,1,16086,62.16585851,0,3241,7,5.8,8.5,6.9,97.4,0.3,0.2,2.2,1,0.4,3.9,2.4,1.5,63,23.7,9.292720702,27.21774194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20107,0,0,0,0,2,2,2,44802,44.64086425,0,9656,6.9,6.1,7.5,7.6,96.4,0.4,0.3,1.9,2,0.6,4,2.1,0.7,68.5,26.2,13.01518438,29.20560748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20109,1,0,1,0,0,1,2,13229,151.183007,0,2756,6.7,6.3,7.4,5.6,96,0.8,0.4,2.9,0.7,0.5,3.7,1.9,1.5,62.2,15.4,5.121638924,41.90919674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20111,1,0,0,0,1,1,2,171274,11.6771956,50,33690,6.1,8.2,6.1,4.9,83.5,2.4,2.3,20.1,1.9,0.5,7.2,2.8,1.3,61.2,12.7,4.9200492,22.96434688,47,30.5,21.8,2.5,3.19,8,2.9,38.1,47.2,1.3,2.1,11.3,53,N,6,6.6,32.9,23.7,15.7,9,87.4,24.7,8.5,12,76.1,68.4,9.2,69.4,0,7.8,62.8,57.7,22.8,40225,49356,14.3,83.1,13.2,23.2,14.8,95800,562
20,20113,0,0,0,0,2,2,2,140212,14.26411434,100,29180,6.7,6.7,7.1,5.6,95.1,1,0.5,3.5,1.2,0.4,3.8,1.7,1.8,67.7,7.6,5.237359833,8.635578584,59.4,25.2,28.2,2.41,2.86,4.5,2.2,25.9,62.4,0.9,2.1,8.7,66,N,6.4,5.2,28.7,27.1,17.7,8.4,88.3,26.1,7.9,11,84.7,71.3,1.8,67.2,0,3.9,60.6,61.3,12.1,53851,68345,5.8,91.3,4.3,8.8,9.2,121400,606
20,20115,0,0,1,0,0,1,1,59886,16.69839361,100,12660,6.6,7.6,7,6.2,96,0.8,0.2,2.3,1.1,0.4,3.4,1.5,2.4,69,15.8,10.43327054,23.01587302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20119,0,0,0,0,1,1,1,19485,51.32152938,0,4575,9,7.8,6.4,4.5,92.7,0.7,0.4,14.8,1.3,0.3,2.5,1.5,2.6,72.3,14.3,8.37520938,29.1704649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20121,1,0,2,0,3,5,6,152313,39.39256662,16.666667,32787,8.1,7,6.7,5.4,95.2,1.3,0.4,2.5,1.6,0.6,3.9,2,1.7,74.4,7.8,7.69338369,27.30375427,59.7,22.3,24.5,2.67,3.1,4.8,1.9,24.7,61.4,1.1,2.5,10.2,65,N,2.4,3.8,31.8,27.9,16,7.2,93.8,23.2,10,12.2,88.6,61.4,0.7,67.2,0,8.6,62.6,79.3,15.5,60018,74536,7,89.6,6.1,11.6,8.9,166400,757
20,20123,0,2,0,0,0,0,2,30153,66.32839187,100,6373,6.2,7.1,7.5,7.1,98,0.2,0.3,1.1,0.8,0.3,4.4,1.8,2.1,61.8,15.4,15.95441595,28.44950213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20125,3,1,1,4,4,9,13,173714,74.8356494,7.692308,35471,6.1,7.6,6.7,5.8,83.3,5.8,0.6,5.2,2.4,0.5,5.2,2.6,1.4,65.4,13.2,17.88580601,28.25349909,47.4,30.3,30.4,2.44,2.99,5.2,2,28,53.1,1.2,2.8,14.9,66,59.5,3.5,7.8,33.7,26.8,10.4,6.4,88.7,16.8,10,18.9,82.6,62,2.8,61.3,0.1,12.8,57.1,68.3,15.6,39322,49867,14.8,83.4,14.3,25.2,16.1,72100,565
20,20127,0,0,0,1,0,1,1,29901,33.44369754,0,5923,6.4,5.9,8,6.6,96,0.4,0.2,3.6,1.2,0.5,3.3,1.8,1.1,67.9,20.3,12.04093919,37.13355049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20129,0,1,1,0,0,1,2,14520,137.7410468,50,3233,7.8,7.6,6.5,5.1,87.9,0.4,1.9,19.3,2.1,0.4,3.6,1.9,2.6,69.4,14.8,15.01154734,50.82872928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20133,0,0,0,1,1,2,2,81562,24.52122312,50,16512,6.9,7.5,6.6,6.1,94.1,1.2,0.5,4.2,1.6,0.3,4.9,2.6,1.4,67.3,11.6,14.7351187,25.8025193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20139,0,0,2,3,1,6,6,75313,79.66752088,33.333333,16295,7.6,6.8,7.3,6.2,96.9,0.3,0.2,2,1.7,0.4,4.3,2.4,1.1,69.7,12.7,20.27027027,25.88341211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20143,1,0,1,2,0,3,4,29423,135.9480678,25,6091,8.1,6.8,7.3,5.8,96.7,0.8,0.1,2,1.5,0.3,3.7,2,1.6,70.2,11.6,9.818962872,18.65222623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20145,0,1,0,0,0,0,1,32759,30.52596233,100,6973,6.3,7.7,8,6.4,90.7,4.7,0.5,6.6,1.5,0.3,3.8,2,14.5,60.8,15.5,20.99737533,32.87981859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20149,1,0,1,0,2,3,4,101523,39.39993893,25,21604,8.3,7.3,6.2,4.9,93.6,1.1,0.7,4.4,1.3,0.5,3.7,1.8,0.9,71.8,8.7,11.51111613,16.95929769,61.2,24.9,23,2.71,3.3,3.7,1.4,26.5,63.4,0.3,2.1,7.7,90,N,1.8,3.2,32.8,24.9,19.9,9.6,95.1,29.5,10,8.7,91.5,68,1.3,70.5,1.9,3.4,65.6,59.6,26.3,55244,65879,3.3,92,5.2,9.4,8.3,151300,717
20,20151,0,1,0,1,0,1,2,47600,42.01680672,100,9656,6.4,7.5,7.6,5.3,94.1,1.2,0.3,5.4,1.6,0.4,4.1,2.3,1.6,64.3,12.4,14.77930897,28.70639535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20153,1,0,0,0,0,0,1,12432,80.43758044,0,2519,5.3,5.7,9.4,7.6,97.2,0.3,0.2,3.2,0.8,0.4,3.1,1.5,1.6,60.8,19.3,3.848620911,19.14414414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20155,4,3,8,8,8,24,31,318650,97.28542288,16.129032,64511,6.5,6.9,6.9,5.8,90.6,3,0.5,8.1,1.6,0.4,4.7,2.4,4.1,65,8.8,24.696085,27.29576916,51.4,30.5,28.1,2.39,2.98,4.1,2,28.2,56,0.7,3,12,69,57.2,3.8,8.2,27.6,31.4,12.3,6.5,88,18.7,9.9,13.8,79.5,74.3,2.5,62.1,0.1,6.5,59.2,62.1,16.2,42496,55812,11.8,85.4,8.7,16.1,8.8,89600,618
20,20159,0,1,0,0,0,0,1,45637,21.91204505,0,10083,6.7,8.2,6.7,5.3,91.4,1.3,0.4,10.1,1.8,0.2,3.9,2,1.8,67,14.1,10.754682,19.62588163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20161,4,2,1,1,0,2,8,359761,22.23698511,25,71115,4.1,10.4,3.7,3.1,83.2,6.4,4.2,6.5,0.7,0.3,13,1.9,0.6,54.3,8.6,14.90122616,16.26457034,41.9,29.5,14.5,2.48,3.05,16,2.2,55.7,36.8,0.8,0.8,5.9,45,N,1.4,3.2,18.7,24.5,24.2,21.1,95.3,45.3,9.5,5.5,75.1,49.9,6.6,68.2,10.4,4.4,61.5,52,34.1,44414,57942,3.9,92,6.6,10.3,10.1,167200,841
20,20167,0,1,0,0,2,2,3,33831,88.67606633,0,6970,5.8,5.6,7.4,6.7,96.3,0.8,0.5,1.6,1.1,0.4,4.2,2.5,1.2,61.7,18.8,16.04426003,25.04038772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20169,5,1,6,1,6,13,19,274386,69.24551544,31.578947,55606,7,7,6.7,5.5,87.6,3.3,2.1,9.7,2.1,0.4,5.7,2.9,1,64.2,7,26.79110181,24.48625181,47.2,30.3,26.9,2.42,3.03,5.6,3,29.3,51.7,1.8,2.9,14.3,64,64,3.6,7.2,33.5,25.6,15.6,8.5,89.2,24.1,10,12.2,83.1,69.2,5.5,69.8,0.2,5.9,64.8,74.8,11.5,45164,59358,9.4,82.8,13.4,25.9,6.8,118800,651
20,20171,0,0,2,1,2,5,5,23489,212.8655967,100,4936,6.8,6,7.6,5.7,90.1,0.4,0.5,15.3,1.7,0.3,3.5,2,2.1,68.2,9.6,12.94744859,33.40440654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20173,26,22,30,23,15,68,116,2468079,47.00011628,12.931034,498365,7.3,7.1,6.2,4.9,76.3,9.3,4.1,13,2.3,0.6,5,2.3,0.8,65.6,8.5,28.73135633,26.7297002,47.2,29.8,22,2.59,3.26,4.9,2.1,33,51.2,1.7,2.8,11.3,60,40.9,4.2,7.6,27.1,26,19.3,9.1,88.2,28.4,10,12.1,83.1,62.9,8.5,68.8,0.7,9.3,63.5,69.8,13,48511,63244,12.9,85.1,11,18.3,10,123800,701
20,20175,3,1,1,1,2,4,8,116099,68.90670893,25,22952,8,8.7,4.7,3.5,70.5,3.4,2.7,56.6,3.3,0.7,5.2,2,1,73.7,7.5,21.80897673,34.02246459,51.1,21.5,19.9,3.09,3.65,5.8,2.2,38.3,46.8,3.4,2.9,8.6,86,N,21.6,13.8,28.9,17.5,7.2,4.2,64.6,11.4,5.2,8.6,82.8,41.3,31.1,69.6,0,9.7,58.9,64.3,16.2,48198,55216,10.8,79,13.2,20.2,9,88200,669
20,20177,0,1,3,2,0,5,6,245339,24.45595686,66.666667,177934,6.7,6.6,7.1,5.9,81.2,8.6,1.2,10.8,2.1,0.5,5.5,2.7,1.7,62.9,8.3,18.89868133,23.42968551,46.5,30.9,24.9,2.42,3.04,5.1,2.5,31.9,52.4,0.7,2.3,12.7,62,41.4,3.6,5.5,32.1,23.2,18.5,10.2,90.9,28.7,12.4,14.5,82.4,67.3,4.8,66,0.2,8,62.6,70.4,20.4,46847,62381,12.6,86.7,13,22.6,8.9,120400,692
20,20191,3,0,2,0,2,4,7,107462,65.13930506,42.857143,24132,7.4,7,7.2,5.7,94.1,1,0.2,4.5,1.9,0.4,3.8,2,1.6,69.5,13,14.9207336,29.90548737,55.2,26.7,27.7,2.54,3.04,4.1,1.5,27.2,60.6,0.7,1.5,10,69,N,2.9,5.5,38.2,26.6,13.5,6.2,91.6,19.7,12.7,14.7,83.5,72.6,0.1,64.1,0.2,8.1,59.7,56.8,16.7,47729,57693,11.5,90,10.6,16.3,14.8,84100,606
20,20199,0,0,1,0,0,1,1,7217,138.5617293,0,1485,6.8,8,7.1,6.4,93.9,0.1,0.1,7.3,1.8,0.2,1.5,1,1.2,66.6,20.6,2.162162162,29.95391705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20203,1,0,0,1,0,1,2,10904,183.4189288,50,2234,8.1,6,7.6,5.1,88.3,0.9,0.1,24.6,1.7,0.3,2.6,1.2,1.2,71.6,15.5,10.41666667,26.71118531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20205,0,1,0,1,0,1,2,47691,41.93663375,0,9409,6.7,6.4,7.3,6.5,95.6,0.3,0.4,2.3,2,0.5,4.2,2.6,1.3,66.1,16,,30.20354563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20207,0,0,0,1,0,1,1,16368,61.09481916,100,3309,6,4.4,8.8,7.2,95.5,0.4,0.1,2.1,2,0.6,5,3,1.2,59.4,24.6,11.6834838,15.89825119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20209,0,0,3,2,2,7,7,59450,117.746005,14.285714,157505,7.2,7.1,5.8,4.6,54.6,25.2,2.5,26.4,4,0.8,6.4,2.9,0.7,65.3,12.5,13.52795778,21.75537657,39.1,29.7,21.6,2.76,3.47,6.2,2.5,39.1,42.6,2.2,3.2,12.9,60,41.6,10.1,11.2,32.9,23.4,10.4,4.9,78.8,15.2,9.3,13.7,82,54.1,14.3,66.7,0.1,13.7,62.3,71.1,15.2,38940,48520,17.5,75.4,19.3,30,14.9,93100,721
21,21003,0,1,0,0,0,0,1,74082,13.49855565,100,19956,6.7,7.1,6.5,6.3,97,0.8,0.2,1.5,2.6,0.7,4.2,2.2,0.9,70.7,15.7,36.13916947,26.90494894,48.5,28.4,28.3,2.44,3,4,2.6,28.6,51.3,4.5,3.7,11.9,54,N,12.5,11.7,35.3,20,7.4,4.9,75.8,12.3,9.8,18.8,83.5,64.6,1,59,0,14.8,53.5,67.1,13.1,37291,44066,15.7,83.3,14.6,25.2,12.6,91800,552
21,21007,0,0,1,1,1,3,3,32020,93.69144285,0,8249,6.8,6.6,7.2,6.7,94.7,2.9,0.2,1.1,2.1,0.4,3.8,2.2,1.5,69.8,12.6,14.63526183,56.62805663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21009,0,1,1,0,0,1,2,168965,11.83677093,50,42173,6.9,6.7,6.4,6,92.5,3.9,0.4,2.6,2.3,0.6,4.5,2.3,1.6,68.9,11.4,24.09883573,35.32583434,53.5,26.8,27.8,2.5,3.03,2.6,1.5,21.3,59.4,2.5,3.1,13.6,49,44.6,9.7,10.6,44.3,15.8,7.5,5.2,79.7,12.7,7.5,19.2,85.6,79.6,1.2,60.5,0.2,8.3,54.5,71.2,15.6,38603,48198,21.9,85,17.8,28.9,13.8,96900,535
21,21013,0,0,1,1,1,3,3,115523,25.96885469,33.333333,28691,6.3,6.9,6.9,6.8,95.6,2.2,0.3,0.7,3.5,0.9,3.5,2,2.3,66.9,10.4,24.67253448,32.24139713,47.3,29.7,30.8,2.49,3.08,3.1,1.5,29.3,54.8,1.8,3.5,10.6,62,57.2,15.2,15,38.6,14.9,3.6,6.6,69.8,10.2,8.4,28.7,91.2,77.1,0.2,43.1,0,14.4,39.1,46.1,16.7,25209,35442,30.9,79.3,28.3,39.9,15.8,65400,482
21,21015,0,2,3,2,1,6,8,482963,16.56441591,25,118811,7.9,6.7,6,5,91.8,2.5,2.1,3.5,2,0.7,4.3,2.3,0.6,73.7,6.4,9.892236745,30.32616533,59.2,22,19.9,2.83,3.33,3.5,1.7,27.8,59.4,1.1,1.9,9.8,63,42.7,2.5,5.9,29.2,23.9,18.9,10.2,91.7,29.1,10,10.8,88.3,52.6,4.5,70.9,0.1,6.6,64.8,64.3,11.8,65042,77846,8.4,91.6,7.6,10.5,8.5,170800,848
21,21017,0,1,1,0,0,1,2,77213,25.90237395,50,19985,7,6.7,6.8,6.5,88.1,6,0.3,6.8,2.7,0.8,5,2.6,1.2,68.9,10.7,18.20375041,26.73186634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21019,0,1,1,0,1,2,3,217636,13.78448418,33.333333,49542,5.9,6.1,7.2,6.4,94.7,2.8,0.5,1.4,3,0.8,4.1,2.3,4.5,67.6,9.2,24.80407207,89.53108633,50.9,28,30.8,2.47,2.96,5.7,2.4,27.3,52,1.9,3.5,15.2,51,56,4.1,9.5,37.8,24.9,7.8,6.7,86.4,14.4,11.6,20.5,87.1,63.1,1.3,51.1,0.1,11.7,48,72.1,13.3,38933,56451,18.4,85.3,12.8,21.6,12.1,97800,595
21,21021,0,2,1,1,0,2,4,112739,35.48017988,25,28432,6.1,7.7,6.9,6.4,88.2,7.5,0.8,2.8,2.1,0.6,4.1,2.1,4.3,67.5,10,22.7780259,28.80476769,47.8,29.3,29.4,2.34,2.85,4.8,2.3,29.7,50.7,3.1,2.8,13.7,58,N,7.1,8.7,34.6,19.5,11.8,10.2,84.2,22.1,8.8,17.2,79.2,69.7,2.5,57.4,0.1,11,53.9,71.6,16,39101,55249,20.6,85.8,12.8,23.1,9.2,131100,635
21,21029,0,1,0,1,1,2,3,292767,10.24705653,66.666667,74319,7.5,7.1,6.4,5.9,96.8,0.7,0.5,1.4,2.8,0.7,4.6,2.6,0.5,76.3,5.6,24.69854201,31.432393,57.1,19.7,23.4,2.67,3.03,4.7,2.7,26.1,57.3,1.4,2.3,12.9,40,44.5,4.2,11,41.3,23,8.4,4.6,84.8,13,11.5,13.9,87.1,81.5,0.9,68.1,0.2,8.6,63.7,73.2,13.6,53748,62276,11,90.3,8,13.6,5.2,145800,754
21,21031,0,0,0,1,0,1,1,52308,19.1175346,0,12690,6.5,6.1,6.9,5.9,97,0.4,0.2,2.5,2.4,0.9,4.7,2.4,1.6,70.7,14,20.71276272,32.06997085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21033,0,0,0,1,1,2,2,51789,38.61823939,0,12984,6.1,6.5,7.4,7.3,92.8,5.1,0.3,1,2.5,0.5,4.2,2.4,0.9,68.5,14.3,25.16802517,37.89303951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21035,0,0,1,1,1,3,3,164645,18.22102098,33.333333,37191,4.9,8.9,5.8,5.7,92,3.7,1.8,2.4,1.4,0.5,6.4,2.2,1.1,58.1,14,25.44066873,25.07457873,49.2,31.2,27.3,2.33,2.89,8.4,3,35,51.2,1.3,3.3,9.1,30,46.8,5.9,7.5,32.1,21.4,15.3,10.5,86.6,25.8,8.9,13.5,79.9,57.1,4.1,62.7,0.3,10.4,60.5,83.2,18.8,40304,51516,11.2,88.6,8.5,14.1,19,117400,524
21,21037,1,1,1,2,2,5,7,375682,18.63277985,42.857143,90336,6.3,7.2,6.5,5.3,94.3,2.5,0.8,1.7,2.4,0.7,5.7,3,1.3,62.7,8.7,18.45313265,35.26106752,46.6,31.3,23.6,2.5,3.17,5,1.8,35.6,49.6,1.7,2.5,10.6,51,49,3.9,8.2,30.3,21.4,17.6,10.4,87.9,28,9,12.5,85,62.6,2.2,68.2,0,9,65.5,74.9,14.2,53080,64831,10.1,87.1,11.2,17.9,11,145700,706
21,21041,0,1,0,0,0,0,1,40502,24.69013876,0,10811,6.9,6.9,6.2,5.9,92.1,1.5,0.6,7.3,3,0.6,6.7,3.5,2.2,69,13.5,25.07708119,64.50607666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21047,0,4,0,1,3,4,8,304572,26.26636723,37.5,73955,6.8,6.7,4.9,4,71.5,21.2,1,6.1,2.2,0.5,4,1.9,1.7,70.2,11.3,38.97355581,31.03741497,52.2,25.6,21.2,2.67,3.23,3.3,1.9,34.9,50.5,2.9,2.5,9.3,90,59.3,5.8,9.3,33.9,28.6,9.5,4.9,85,14.4,16.7,14,76.5,51,3,62.3,11.9,14.8,53.1,44.7,23,37463,47800,18.4,82.7,17.4,26.7,12.5,102800,742
21,21055,0,1,0,0,1,1,2,37055,53.9738227,50,9315,6,5.9,7.2,6.8,97.7,0.8,0.2,0.5,2.8,0.7,3.5,2,2.3,68.2,17.2,27.12001619,32.59647808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21057,0,0,0,1,0,1,1,25527,39.1742077,0,6856,5.9,6.8,7,6.8,95.4,2.6,0.1,0.9,2.8,0.7,4.1,2.4,1.2,66.4,21.9,0,26.80965147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
