FIPS,relover65,nonrelatives,college,samehouse,employed,income,rent,pop
19101,0.4,,,,,,,16843
19103,0.3,12,17.9,72.4,71.5,52935,823,130882
19109,0.2,,,,,,,15543
19111,0.4,5.6,21.7,89.5,62.3,41405,558,35862
19113,0.4,6.8,23.4,84.6,70.9,57173,662,211226
19123,0.4,5.9,21.1,83,67.9,48420,570,22381
19125,0.4,2.3,24.1,85.8,67.4,53588,638,33309
19127,0.4,4.4,22.5,85.6,66.7,51550,622,40648
19139,0.5,6,24.7,86.7,65.4,47643,726,42745
19145,0.4,,,,,,,15932
19153,0.5,5.6,21,82.6,72.7,56992,762,430640
19155,0.6,5.5,23.9,85.3,68.4,50624,723,93158
19157,0.3,,,,,,,18914
19163,0.4,5.5,22.1,85.5,66.3,51026,682,165224
19167,0.2,3.7,19.6,86.6,73.1,57408,580,33704
19169,0.2,14,20.3,68.3,68.1,49638,718,89542
19175,0.4,,,,,,,12534
19179,0.4,6,21.5,85,62.7,39778,609,35625
19181,0.4,4.1,23.6,84.4,73.1,62066,732,46225
19187,0.3,5.7,24.5,83.7,62.2,40146,522,38013
19193,0.5,6.5,23.5,83.4,68.5,44098,627,102172
19197,0.2,,,,,,,13229
20001,0.5,,,,,,,13371
20003,0.6,,,,,,,8102
20007,0.4,,,,,,,4861
20009,0.4,4.7,26.1,85.4,66.7,45781,573,27674
20011,0.7,,,,,,,15173
20013,0.4,,,,,,,9984
20015,0.5,4.1,29.1,83.6,66.2,55189,711,65880
20021,0.5,3.3,28.8,88.1,61,40533,553,21603
20029,0.4,,,,,,,9533
20031,0.5,,,,,,,8601
20035,0.5,6.8,30.1,77.3,60.8,39756,586,36311
20037,0.5,9.1,23,80,62.1,36125,658,39134
20041,0.4,,,,,,,19754
20045,0.3,13.6,19.5,70.6,70.8,48528,850,110826
20049,0.3,,,,,,,2882
20051,0.3,9.2,24.1,75,75.5,42651,580,28452
20053,0.3,,,,,,,6497
20055,0.8,6.1,19.3,83.7,73.9,47215,657,36776
20057,0.7,5,21.3,86.3,69.9,50021,595,33848
20059,0.5,5.2,24.4,83.7,68,49528,714,25992
20061,0.4,4.9,32.6,75.2,72.4,46000,917,34362
20067,0.6,,,,,,,7829
20069,0.4,,,,,,,6006
20079,0.4,4.8,23.6,84.8,64.4,46899,660,34684
20085,0.6,,,,,,,13462
20087,0.6,,,,,,,19126
20091,0.6,4.5,21.3,85.7,73.4,73021,897,544179
20093,0.5,,,,,,,3977
20095,0.5,,,,,,,7858
20097,0.5,,,,,,,2553
20099,0.5,5.9,24.2,86.9,63.4,39805,558,21607
20103,0.6,3.9,22.1,78.9,61.6,61709,881,76227
20105,0.4,,,,,,,3241
20107,0.6,,,,,,,9656
20109,0.5,,,,,,,2756
20111,0.5,8,23.7,76.1,69.4,40225,562,33690
20113,0.4,4.5,27.1,84.7,67.2,53851,606,29180
20115,0.4,,,,,,,12660
20119,0.3,,,,,,,4575
20121,0.6,4.8,27.9,88.6,67.2,60018,757,32787
