victim.age,hour.group,offenderage.group,type,relationship.group,division.name,loc.group,nonrelatives,relover65,rent,college,samehouse,employed,income,pop,target.harm
15,Afternoon,40-50,SingleVO,Unknown,West South Central,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,15717,1
15,Morning,Unknown,SingleVO,Unknown,West South Central,Unknown,2.7,0.7,662,23.6,79.3,59.6,38380,43462,1
14,Morning,30-40,MultVic,Unknown,West South Central,Unknown,4.7,0.7,599,21,82.3,57.7,36226,46480,1
17,Morning,30-40,MultVic,Unknown,West South Central,Unknown,4.7,0.7,599,21,82.3,57.7,36226,46480,1
16,Morning,<20,SingleVO,Unknown,West South Central,Home,4.7,0.7,599,21,82.3,57.7,36226,46480,0
14,Early,Unknown,SingleVO,Unknown,West South Central,Road/transit,4.9,0.9,682,21.6,85.65,62.3,44804.5,8330,0
12,Afternoon,20-30,MultVic,Unknown,West South Central,Unknown,2.1,0.8,561,21.5,89.5,57.3,32668,26120,1
16,Afternoon,20-30,MultVic,Unknown,West South Central,Unknown,2.1,0.8,561,21.5,89.5,57.3,32668,26120,1
2,Morning,<20,SingleVO,Unknown,West South Central,Unknown,2.1,0.8,561,21.5,89.5,57.3,32668,26120,0
12,Afternoon,Unknown,MultOff,Unknown,West South Central,Unknown,3.9,0.9,605,23.2,85.7,56.6,27337,21757,0
12,Afternoon,Unknown,MultOff,Unknown,West South Central,Unknown,3.9,0.9,605,23.2,85.7,56.6,27337,21757,0
12,Morning,40-50,SingleVO,Known,West South Central,Shopping,3.4,0.7,501,28.9,92,53.7,32830,20662,0
10,Night,Unknown,MultVic,Unknown,West South Central,School,3.4,0.7,501,28.9,92,53.7,32830,20662,0
6,Afternoon,Unknown,MultVO,Unknown,West South Central,Home,3.4,0.7,501,28.9,92,53.7,32830,20662,0
16,Morning,Unknown,SingleVO,Stranger,West South Central,Home,3.4,0.7,501,28.9,92,53.7,32830,20662,0
16,Afternoon,Unknown,MultOff,Stranger,West South Central,Park/outdoor,3.4,0.7,501,28.9,92,53.7,32830,20662,1
7,Night,40-50,SingleVO,Known,West South Central,Home,3.4,0.7,501,28.9,92,53.7,32830,20662,0
17,Afternoon,Unknown,MultOff,Unknown,West South Central,Home,3.4,0.7,501,28.9,92,53.7,32830,20662,1
16,Afternoon,Unknown,MultOff,Stranger,West South Central,Park/outdoor,3.4,0.7,501,28.9,92,53.7,32830,20662,1
16,Night,Unknown,MultOff,Unknown,West South Central,Road/transit,3.4,0.7,501,28.9,92,53.7,32830,20662,1
7,Afternoon,30-40,SingleVO,Stranger,West South Central,Home,3.4,0.7,501,28.9,92,53.7,32830,20662,1
1,Afternoon,Unknown,MultVO,Unknown,West South Central,Home,3.4,0.7,501,28.9,92,53.7,32830,20662,0
13,Afternoon,Unknown,SingleVO,Stranger,West South Central,Shopping,3.4,0.7,501,28.9,92,53.7,32830,20662,0
11,Afternoon,40-50,SingleVO,Unknown,West South Central,Road/transit,3.4,0.7,501,28.9,92,53.7,32830,20662,0
15,Early,20-30,SingleVO,Stranger,West South Central,Road/transit,3.4,0.7,501,28.9,92,53.7,32830,20662,0
16,Night,Unknown,MultOff,Unknown,West South Central,Road/transit,3.4,0.7,501,28.9,92,53.7,32830,20662,1
17,Afternoon,Unknown,MultOff,Unknown,West South Central,Home,3.4,0.7,501,28.9,92,53.7,32830,20662,1
9,Afternoon,Unknown,SingleVO,Unknown,West South Central,Road/transit,3.4,0.7,501,28.9,92,53.7,32830,20662,0
16,Night,Unknown,SingleVO,Unknown,West South Central,Road/transit,3.4,0.7,501,28.9,92,53.7,32830,20662,1
13,Afternoon,>50,SingleVO,Stranger,West South Central,Road/transit,3.4,0.7,501,28.9,92,53.7,32830,20662,0
17,Afternoon,Unknown,MultOff,Unknown,West South Central,Home,3.4,0.7,501,28.9,92,53.7,32830,20662,1
16,Night,Unknown,MultOff,Unknown,West South Central,Road/transit,3.4,0.7,501,28.9,92,53.7,32830,20662,1
1,Afternoon,Unknown,MultVO,Unknown,West South Central,Home,3.4,0.7,501,28.9,92,53.7,32830,20662,0
10,Night,Unknown,MultVic,Unknown,West South Central,School,3.4,0.7,501,28.9,92,53.7,32830,20662,0
6,Afternoon,Unknown,MultVO,Unknown,West South Central,Home,3.4,0.7,501,28.9,92,53.7,32830,20662,0
16,Night,>50,SingleVO,Stranger,West South Central,Shopping,3.4,0.7,501,28.9,92,53.7,32830,20662,0
10,Afternoon,>50,MultOff,Parent,West South Central,Home,5.5,0.7,759,23.4,83,65.4,45256,382748,0
10,Afternoon,>50,MultOff,Family,West South Central,Home,5.5,0.7,759,23.4,83,65.4,45256,382748,0
7,Night,30-40,MultOff,Known,West South Central,Home,3.1,0.7,590,23.4,81.7,51.1,32771,28258,1
12,Night,20-30,SingleVO,Known,West South Central,Unknown,3.1,0.7,590,23.4,81.7,51.1,32771,28258,1
17,Night,20-30,SingleVO,Known,West South Central,Home,3.1,0.7,590,23.4,81.7,51.1,32771,28258,1
15,Night,40-50,MultVic,Known,West South Central,Shopping,3.1,0.7,590,23.4,81.7,51.1,32771,28258,1
14,Night,<20,MultVic,Known,West South Central,Home,3.1,0.7,590,23.4,81.7,51.1,32771,28258,0
15,Morning,Unknown,SingleVO,Known,West South Central,Unknown,3.1,0.7,590,23.4,81.7,51.1,32771,28258,0
17,Night,<20,MultOff,Known,West South Central,Unknown,3.1,0.7,590,23.4,81.7,51.1,32771,28258,0
1,Morning,>50,SingleVO,Known,West South Central,Unknown,3.1,0.7,590,23.4,81.7,51.1,32771,28258,0
7,Night,30-40,MultOff,Known,West South Central,Home,3.1,0.7,590,23.4,81.7,51.1,32771,28258,1
17,Night,30-40,MultOff,Known,West South Central,Unknown,3.1,0.7,590,23.4,81.7,51.1,32771,28258,0
10,Morning,>50,MultOff,Parent,West South Central,Home,3.1,0.7,590,23.4,81.7,51.1,32771,28258,0
16,Night,40-50,SingleVO,Known,West South Central,Road/transit,3.1,0.7,590,23.4,81.7,51.1,32771,28258,0
15,Night,40-50,SingleVO,Known,West South Central,Home,3.1,0.7,590,23.4,81.7,51.1,32771,28258,0
14,Night,40-50,MultVic,Known,West South Central,Shopping,3.1,0.7,590,23.4,81.7,51.1,32771,28258,1
17,Night,40-50,MultOff,Known,West South Central,Unknown,3.1,0.7,590,23.4,81.7,51.1,32771,28258,0
10,Morning,>50,MultOff,Parent,West South Central,Home,3.1,0.7,590,23.4,81.7,51.1,32771,28258,0
2,Night,40-50,SingleVO,Known,West South Central,Home,3.1,0.7,590,23.4,81.7,51.1,32771,28258,0
12,Night,<20,MultVic,Known,West South Central,Home,3.1,0.7,590,23.4,81.7,51.1,32771,28258,0
9,Morning,30-40,SingleVO,Unknown,West South Central,Unknown,4.9,0.8,682,21.6,85.65,62.3,44804.5,11233,0
12,Afternoon,40-50,MultOff,Unknown,West South Central,School,4.7,0.7,614,24.3,84.7,60.7,39106,125744,0
12,Afternoon,40-50,MultOff,Unknown,West South Central,School,4.7,0.7,614,24.3,84.7,60.7,39106,125744,0
17,Morning,30-40,SingleVO,Known,West South Central,Road/transit,4.9,0.7,682,21.6,85.65,62.3,44804.5,17058,0
8,Afternoon,20-30,SingleVO,Stranger,West South Central,Road/transit,4.9,0.7,682,21.6,85.65,62.3,44804.5,17058,1
7,Morning,30-40,MultOff,Unknown,West South Central,Home,4.9,0.7,682,21.6,85.65,62.3,44804.5,17264,0
7,Morning,30-40,MultOff,Unknown,West South Central,Home,4.9,0.7,682,21.6,85.65,62.3,44804.5,17264,0
11,Afternoon,20-30,MultVic,Unknown,West South Central,School,4.9,0.7,682,21.6,85.65,62.3,44804.5,12394,0
12,Afternoon,20-30,MultVic,Unknown,West South Central,School,4.9,0.7,682,21.6,85.65,62.3,44804.5,12394,0
3,Night,20-30,SingleVO,Parent,West South Central,Road/transit,4.9,0.7,682,21.6,85.65,62.3,44804.5,12394,0
16,Early,20-30,MultOff,Unknown,West South Central,Road/transit,4.9,0.7,682,21.6,85.65,62.3,44804.5,12394,0
12,Night,20-30,SingleVO,Known,West South Central,Home,4.9,0.7,682,21.6,85.65,62.3,44804.5,12394,0
16,Early,40-50,MultOff,Unknown,West South Central,Road/transit,4.9,0.7,682,21.6,85.65,62.3,44804.5,12394,0
8,Afternoon,30-40,SingleVO,Parent,West South Central,Home,4.9,0.7,682,21.6,85.65,62.3,44804.5,12394,0
16,Early,30-40,MultOff,Unknown,West South Central,Road/transit,4.9,0.7,682,21.6,85.65,62.3,44804.5,12394,0
11,Afternoon,<20,SingleVO,Stranger,West South Central,Road/transit,4.9,0.7,682,21.6,85.65,62.3,44804.5,12394,0
16,Night,20-30,SingleVO,Parent,West South Central,Home,4.9,0.7,682,21.6,85.65,62.3,44804.5,12394,0
1,Night,30-40,SingleVO,Parent,West South Central,Home,4.9,0.7,682,21.6,85.65,62.3,44804.5,12394,1
14,Morning,20-30,SingleVO,Known,West South Central,Park/outdoor,4.9,0.7,682,21.6,85.65,62.3,44804.5,12394,1
13,Afternoon,20-30,MultVic,Unknown,West South Central,School,4.9,0.7,682,21.6,85.65,62.3,44804.5,12394,0
3,Afternoon,20-30,SingleVO,Unknown,West South Central,Shopping,4.9,0.7,682,21.6,85.65,62.3,44804.5,12394,1
3,Afternoon,30-40,SingleVO,Unknown,West South Central,Unknown,3.5,0.7,603,21.4,87.1,56.4,39300,41639,0
6,Morning,<20,MultVO,Known,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
5,Morning,<20,MultVO,Parent,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
8,Night,20-30,MultVic,Stranger,Mountain,School,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
15,Night,<20,MultVO,Known,Mountain,Road/transit,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
16,Morning,30-40,SingleVO,Stranger,Mountain,Shopping,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
13,Afternoon,Unknown,MultOff,Stranger,Mountain,Road/transit,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
6,Morning,20-30,MultVO,Known,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
17,Night,20-30,MultVO,Known,Mountain,Road/transit,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
11,Afternoon,20-30,SingleVO,Known,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
14,Morning,40-50,SingleVO,Stranger,Mountain,Shopping,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
5,Morning,<20,MultVO,Known,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
15,Afternoon,40-50,MultOff,Stranger,Mountain,Shopping,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
17,Night,<20,MultVO,Known,Mountain,Road/transit,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
17,Night,20-30,SingleVO,Stranger,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
3,Night,>50,MultOff,Family,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
15,Night,20-30,MultVO,Known,Mountain,Road/transit,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
17,Night,<20,MultVO,Known,Mountain,Road/transit,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
9,Unknown,20-30,SingleVO,Parent,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
17,Afternoon,20-30,MultOff,Unknown,Mountain,Shopping,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
3,Night,20-30,SingleVO,Parent,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
17,Afternoon,<20,MultOff,Unknown,Mountain,Shopping,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
10,Afternoon,Unknown,MultVO,Stranger,Mountain,Unknown,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
10,Afternoon,Unknown,MultVO,Stranger,Mountain,Unknown,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
15,Night,30-40,SingleVO,Known,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
10,Afternoon,Unknown,MultVO,Stranger,Mountain,Unknown,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
10,Afternoon,Unknown,MultVO,Stranger,Mountain,Unknown,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
10,Afternoon,Unknown,MultVO,Stranger,Mountain,Unknown,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
15,Afternoon,<20,SingleVO,Known,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
3,Afternoon,<20,SingleVO,Family,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
1,Morning,30-40,SingleVO,Parent,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
17,Night,20-30,MultVO,Known,Mountain,Road/transit,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
15,Afternoon,40-50,SingleVO,Stranger,Mountain,Road/transit,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
13,Morning,40-50,SingleVO,Stranger,Mountain,Road/transit,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
5,Afternoon,40-50,SingleVO,Stranger,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
12,Morning,<20,MultVic,Stranger,Mountain,Unknown,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
11,Morning,<20,MultVic,Stranger,Mountain,Unknown,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
1,Morning,20-30,MultVO,Known,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
14,Early,30-40,SingleVO,Stranger,Mountain,Road/transit,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
5,Morning,20-30,MultVO,Known,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
15,Night,<20,MultVO,Known,Mountain,Road/transit,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
12,Night,20-30,MultVic,Stranger,Mountain,School,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
17,Night,<20,MultVO,Known,Mountain,Road/transit,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
9,Night,40-50,SingleVO,Family,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
12,Afternoon,30-40,SingleVO,Stranger,Mountain,Road/transit,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
3,Night,30-40,MultOff,Family,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
13,Early,20-30,SingleVO,Known,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
4,Afternoon,40-50,SingleVO,Unknown,Mountain,Shopping,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
15,Afternoon,40-50,MultOff,Stranger,Mountain,Shopping,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
10,Afternoon,Unknown,MultVO,Stranger,Mountain,Unknown,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
17,Night,<20,MultVO,Known,Mountain,Road/transit,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
9,Night,30-40,SingleVO,Unknown,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
6,Morning,<20,MultVO,Parent,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
1,Morning,<20,MultVO,Parent,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
13,Afternoon,Unknown,MultOff,Stranger,Mountain,Road/transit,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
2,Afternoon,20-30,SingleVO,Unknown,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
12,Morning,Unknown,SingleVO,Unknown,Mountain,School,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,0
1,Morning,<20,MultVO,Known,Mountain,Home,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
9,Night,20-30,MultVic,Stranger,Mountain,School,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
17,Afternoon,20-30,SingleVO,Stranger,Mountain,Shopping,4.9,0.8,682,21.6,85.65,62.3,44804.5,17295,1
14,Early,Unknown,MultOff,Stranger,Mountain,Road/transit,6.1,0.6,685,22,75.2,67,40511,203065,0
11,Morning,30-40,MultOff,Stranger,Mountain,Road/transit,6.1,0.6,685,22,75.2,67,40511,203065,0
15,Morning,Unknown,MultOff,Unknown,Mountain,Road/transit,6.1,0.6,685,22,75.2,67,40511,203065,0
0.1,Morning,>50,MultOff,Family,Mountain,Unknown,6.1,0.6,685,22,75.2,67,40511,203065,0
14,Afternoon,Unknown,SingleVO,Unknown,Mountain,Shopping,6.1,0.6,685,22,75.2,67,40511,203065,1
17,Afternoon,20-30,SingleVO,Unknown,Mountain,Road/transit,6.1,0.6,685,22,75.2,67,40511,203065,0
14,Afternoon,30-40,MultVO,Parent,Mountain,Road/transit,6.1,0.6,685,22,75.2,67,40511,203065,0
15,Night,Unknown,MultOff,Stranger,Mountain,Road/transit,6.1,0.6,685,22,75.2,67,40511,203065,0
11,Afternoon,20-30,SingleVO,Unknown,Mountain,Road/transit,6.1,0.6,685,22,75.2,67,40511,203065,0
2,Morning,Unknown,MultOff,Unknown,Mountain,Home,6.1,0.6,685,22,75.2,67,40511,203065,0
14,Afternoon,Unknown,MultVO,Unknown,Mountain,Road/transit,6.1,0.6,685,22,75.2,67,40511,203065,0
15,Night,30-40,MultVic,Parent,Mountain,Unknown,6.1,0.6,685,22,75.2,67,40511,203065,0
15,Afternoon,<20,SingleVO,Known,Mountain,Road/transit,6.1,0.6,685,22,75.2,67,40511,203065,1
15,Afternoon,Unknown,SingleVO,Known,Mountain,Road/transit,6.1,0.6,685,22,75.2,67,40511,203065,1
3,Morning,20-30,SingleVO,Parent,Mountain,Home,6.1,0.6,685,22,75.2,67,40511,203065,0
13,Afternoon,Unknown,MultVO,Unknown,Mountain,Road/transit,6.1,0.6,685,22,75.2,67,40511,203065,0
